time	air_temperature	precipitation_amount	price
2021-12-01 00:00:00+00:00	-6.7	0	1.09349
2021-12-01 01:00:00+00:00	-6.8	0	0.99528
2021-12-01 02:00:00+00:00	-6.4	0	0.96033
2021-12-01 03:00:00+00:00	-6.7	0	0.99068
2021-12-01 04:00:00+00:00	-7.1	0	1.13549
2021-12-01 05:00:00+00:00	-7.2	0	1.17637
2021-12-01 06:00:00+00:00	-7.2	0	1.22889
2021-12-01 07:00:00+00:00	-7.4	0	1.229
2021-12-01 08:00:00+00:00	-7.5	0	1.23135
2021-12-01 09:00:00+00:00	-7.5	0	1.23104
2021-12-01 10:00:00+00:00	-7.7	0	1.22297
2021-12-01 11:00:00+00:00	-8.2	0	1.2197
2021-12-01 12:00:00+00:00	-8.2	0	1.22092
2021-12-01 13:00:00+00:00	-8.3	0	1.2245
2021-12-01 14:00:00+00:00	-8.6	0	1.22593
2021-12-01 15:00:00+00:00	-8.7	0	1.24555
2021-12-01 16:00:00+00:00	-8.9	0	1.24402
2021-12-01 17:00:00+00:00	-9.2	0	1.23462
2021-12-01 18:00:00+00:00	-8.8	0	1.2105
2021-12-01 19:00:00+00:00	-8.7	0	1.23584
2021-12-01 20:00:00+00:00	-8.7	0	1.15583
2021-12-01 21:00:00+00:00	-7.5	0	0.8846
2021-12-01 22:00:00+00:00	-7.5	0	0.72732
2021-12-01 23:00:00+00:00	-6.9	0	0.40341
2021-12-02 00:00:00+00:00	-7.2	0	0.30487
2021-12-02 01:00:00+00:00	-6.3	0	0.38178
2021-12-02 02:00:00+00:00	-3.5	0	0.65649
2021-12-02 03:00:00+00:00	-2.9	0	0.78406
2021-12-02 04:00:00+00:00	-3.3	0	0.95374
2021-12-02 05:00:00+00:00	-3.9	0	1.12332
2021-12-02 06:00:00+00:00	-1.8	0	1.52796
2021-12-02 07:00:00+00:00	-3.2	0	2.00045
2021-12-02 08:00:00+00:00	-1.7	0	2.00107
2021-12-02 09:00:00+00:00	-1.2	0	1.95834
2021-12-02 10:00:00+00:00	-1	0	1.98387
2021-12-02 11:00:00+00:00	-0.8	0	2.03906
2021-12-02 12:00:00+00:00	-1	0	2.25621
2021-12-02 13:00:00+00:00	-0.6	0	2.51063
2021-12-02 14:00:00+00:00	-3	0	2.9757
2021-12-02 15:00:00+00:00	-2.8	0	3.08793
2021-12-02 16:00:00+00:00	-3.1	0	2.24334
2021-12-02 17:00:00+00:00	-5.1	0	1.54597
2021-12-02 18:00:00+00:00	-3.7	0	1.16584
2021-12-02 19:00:00+00:00	-2	0	1.17263
2021-12-02 20:00:00+00:00	-1.9	0	1.1681
2021-12-02 21:00:00+00:00	-2.6	0	1.1124
2021-12-02 22:00:00+00:00	-4.2	0	1.07647
2021-12-02 23:00:00+00:00	-2.9	0	1.14973
